,City,State,Population,Latitude,Longitude,APICode,AdministrativeArea.CountryID,AdministrativeArea.EnglishName,AdministrativeArea.EnglishType,AdministrativeArea.ID,AdministrativeArea.Level,AdministrativeArea.LocalizedName,AdministrativeArea.LocalizedType,Country.EnglishName,Country.ID,Country.LocalizedName,DataSets,EnglishName,GeoPosition.Elevation.Imperial.Unit,GeoPosition.Elevation.Imperial.UnitType,GeoPosition.Elevation.Imperial.Value,GeoPosition.Elevation.Metric.Unit,GeoPosition.Elevation.Metric.UnitType,GeoPosition.Elevation.Metric.Value,GeoPosition.Latitude,GeoPosition.Longitude,IsAlias,Key,LocalizedName,PrimaryPostalCode,Rank,Region.EnglishName,Region.ID,Region.LocalizedName,SupplementalAdminAreas,TimeZone.Code,TimeZone.GmtOffset,TimeZone.IsDaylightSaving,TimeZone.Name,TimeZone.NextOffsetChange,Type,Version
37,Kansas City,Missouri,491918,39.1251,-94.551,39.1251%2C-94.551,US,Missouri,State,MO,1,Missouri,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Kansas City,ft,0,888,m,5,271,39.1,-94.579,FALSE,329441,Kansas City,64106,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Jackson', 'EnglishName': 'Jackson'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
38,Colorado Springs,Colorado,472688,38.8673,-104.76,38.8673%2C-104.76,US,Colorado,State,CO,1,Colorado,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Colorado Springs,ft,0,6025,m,5,1836,38.834,-104.821,FALSE,327351,Colorado Springs,80903,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'El Paso', 'EnglishName': 'El Paso'}]",MST,-7,FALSE,America/Denver,2020-03-08T09:00:00Z,City,1
39,Miami,Florida,470914,25.7752,-80.2086,25.7752%2C-80.2086,US,Florida,State,FL,1,Florida,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Miami,ft,0,16,m,5,5,25.774,-80.194,FALSE,347936,Miami,33128,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Miami-Dade', 'EnglishName': 'Miami-Dade'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
40,Raleigh,North Carolina,469298,35.8306,-78.6418,35.8306%2C-78.6418,US,North Carolina,State,NC,1,North Carolina,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Raleigh,ft,0,331,m,5,101,35.772,-78.639,FALSE,329823,Raleigh,27601,31,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Wake', 'EnglishName': 'Wake'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
41,Omaha,Nebraska,468262,41.2644,-96.0451,41.2644%2C-96.0451,US,Nebraska,State,NE,1,Nebraska,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Omaha,ft,0,1036,m,5,316,41.259,-95.938,FALSE,349291,Omaha,68102,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Douglas', 'EnglishName': 'Douglas'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
42,Long Beach,California,467354,33.8092,-118.155,33.8092%2C-118.155,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Long Beach,ft,0,29,m,5,9,33.767,-118.189,FALSE,347631,Long Beach,90802,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Los Angeles', 'EnglishName': 'Los Angeles'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
43,Virginia Beach,Virginia,450189,36.78,-76.0252,36.78%2C-76.0252,US,Virginia,State,VA,1,Virginia,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Virginia Beach,ft,0,6,m,5,2,36.853,-75.978,FALSE,351321,Virginia Beach,23451,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Virginia Beach', 'EnglishName': 'Virginia Beach'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
44,Oakland,California,429082,37.7698,-122.225,37.7698%2C-122.225,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Oakland,ft,0,16,m,5,5,37.804,-122.271,FALSE,347626,Oakland,94612,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Alameda', 'EnglishName': 'Alameda'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
45,Minneapolis,Minnesota,425403,44.9633,-93.2683,44.9633%2C-93.2683,US,Minnesota,State,MN,1,Minnesota,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Minneapolis,ft,0,892,m,5,272,44.98,-93.264,FALSE,348794,Minneapolis,55415,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Hennepin', 'EnglishName': 'Hennepin'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
46,Tulsa,Oklahoma,400669,36.1279,-95.9023,36.1279%2C-95.9023,US,Oklahoma,State,OK,1,Oklahoma,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Tulsa,ft,0,715,m,5,218,36.154,-95.993,FALSE,350144,Tulsa,74103,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Tulsa', 'EnglishName': 'Tulsa'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
